OPERATION_TYPE, OP_COUNT, THREAD_COUNT, OP_TYPE_PERCENT, RANDOM_KEYS(Y/N), TOTAL_COST, AVG_COST_PER_THREAD, TOTAL_COST_PER_OP, AVG_COST_PER_OP, TOTAL_THROUGHPUT, AVG_THROUGHPUT
read, 100000, 1, 100, 0, 1.000000, -1, 0.000010, -1, 100000.000000, -1
write, 100000, 1, 100, 0, 1.000000, -1, 0.000010, -1, 100000.000000, -1
p-read, 100000, 2, 100, 0, 4.000000, 2.000000, 0.000040, 0.000020, 100000.000000, 50000.000000
p-rw(r), 100000, 1, 75, 0, 0.000000, 0.000000, 0.000000, 0.000000, inf, inf
p-rw(w), 100000, 1, 25, 0, 0.000000, 0.000000, 0.000000, 0.000000, inf, inf
p-rw(r), 100000, 1, 50, 0, 2.000000, 2.000000, 0.000040, 0.000040, 25000.000000, 25000.000000
p-rw(w), 100000, 1, 50, 0, 2.000000, 2.000000, 0.000040, 0.000040, 25000.000000, 25000.000000
p-rw(r), 100000, 1, 25, 0, 0.000000, 0.000000, 0.000000, 0.000000, inf, inf
p-rw(w), 100000, 1, 75, 0, 1.000000, 1.000000, 0.000013, 0.000013, 75000.000000, 75000.000000
p-read, 100000, 4, 100, 0, 16.000000, 4.000000, 0.000160, 0.000040, 100000.000000, 25000.000000
p-rw(r), 100000, 2, 75, 0, 2.000000, 1.000000, 0.000053, 0.000027, 75000.000000, 37500.000000
p-rw(w), 100000, 2, 25, 0, 0.000000, 0.000000, 0.000000, 0.000000, inf, inf
p-rw(r), 100000, 2, 50, 0, 2.000000, 1.000000, 0.000080, 0.000040, 50000.000000, 25000.000000
p-rw(w), 100000, 2, 50, 0, 2.000000, 1.000000, 0.000080, 0.000040, 50000.000000, 25000.000000
p-rw(r), 100000, 2, 25, 0, 2.000000, 1.000000, 0.000160, 0.000080, 25000.000000, 12500.000000
p-rw(w), 100000, 2, 75, 0, 4.000000, 2.000000, 0.000107, 0.000053, 37500.000000, 18750.000000
p-read, 100000, 8, 100, 0, 88.000000, 11.000000, 0.000880, 0.000110, 72727.272727, 9090.909091
p-rw(r), 100000, 4, 75, 0, 8.000000, 2.000000, 0.000427, 0.000107, 37500.000000, 9375.000000
p-rw(w), 100000, 4, 25, 0, 4.000000, 1.000000, 0.000640, 0.000160, 25000.000000, 6250.000000
p-rw(r), 100000, 4, 50, 0, 4.000000, 1.000000, 0.000320, 0.000080, 50000.000000, 12500.000000
p-rw(w), 100000, 4, 50, 0, 4.000000, 1.000000, 0.000320, 0.000080, 50000.000000, 12500.000000
p-read, 100000, 12, 100, 0, 179.000000, 14.916667, 0.001790, 0.000149, 80476.190476, 6706.349206
p-rw(r), 100000, 4, 25, 0, 12.000000, 3.000000, 0.001920, 0.000480, 8333.333333, 2083.333333
p-rw(w), 100000, 4, 75, 0, 12.000000, 3.000000, 0.000640, 0.000160, 25000.000000, 6250.000000
p-rw(r), 100000, 6, 75, 0, 12.000000, 2.000000, 0.000960, 0.000160, 37500.000000, 6250.000000
p-rw(w), 100000, 6, 25, 0, 6.000000, 1.000000, 0.001440, 0.000240, 24996.000000, 4166.000000
p-rw(r), 100000, 6, 50, 0, 12.000000, 2.000000, 0.001440, 0.000240, 24999.000000, 4166.500000
p-rw(w), 100000, 6, 50, 0, 8.000000, 1.333333, 0.000960, 0.000160, 41665.000000, 6944.166667
p-rw(r), 100000, 6, 25, 0, 12.000000, 2.000000, 0.002880, 0.000480, 12498.000000, 2083.000000
p-rw(w), 100000, 6, 75, 0, 12.000000, 2.000000, 0.000960, 0.000160, 37500.000000, 6250.000000
p-read, 100000, 16, 100, 0, 307.000000, 19.187500, 0.003070, 0.000192, 83421.052632, 5213.815789
p-rw(r), 100000, 8, 75, 0, 8.000000, 1.000000, 0.000853, 0.000107, 75000.000000, 9375.000000
p-rw(w), 100000, 8, 25, 0, 8.000000, 1.000000, 0.002560, 0.000320, 25000.000000, 3125.000000
p-rw(r), 100000, 8, 50, 0, 16.000000, 2.000000, 0.002560, 0.000320, 25000.000000, 3125.000000
p-rw(w), 100000, 8, 50, 0, 16.000000, 2.000000, 0.002560, 0.000320, 25000.000000, 3125.000000
p-rw(r), 100000, 8, 25, 0, 24.000000, 3.000000, 0.007680, 0.000960, 8333.333333, 1041.666667
